Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value,Start_Year,End_Year
2014/15,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Unknown,13257.0,2014,15
2014/15,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Unknown,23659.0,2014,15
2014/15,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Unknown,40273.0,2014,15
2014/15,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Unknown,6739.0,2014,15
2014/15,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Unknown,167889.0,2014,15
2014/15,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Unknown,67991.0,2014,15
2014/15,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Unknown,11431.0,2014,15
2014/15,All codes,All admissions,All admissions,Attributable number,Unknown,474600.0,2014,15
2014/15,C00-D48,All cancers,All cancers,Attributable number,Unknown,158500.0,2014,15
2014/15,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Unknown,141500.0,2014,15
2014/15,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Unknown,130800.0,2014,15
2014/15,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Unknown,19900.0,2014,15
2014/15,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Unknown,70500.0,2014,15
2014/15,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Unknown,14000.0,2014,15
2014/15,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Unknown,19400.0,2014,15
2014/15,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Unknown,3700.0,2014,15
2014/15,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Unknown,700.0,2014,15
2014/15,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Unknown,26700.0,2014,15
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Unknown,3700.0,2014,15
2014/15,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Unknown,3900.0,2014,15
2014/15,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Unknown,6100.0,2014,15
2014/15,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Unknown,2800.0,2014,15
2014/15,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Unknown,7000.0,2014,15
2014/15,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Unknown,5000.0,2014,15
2014/15,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Unknown,93800.0,2014,15
2014/15,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Unknown,42800.0,2014,15
2014/15,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,40200.0,2014,15
2014/15,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,57900.0,2014,15
2014/15,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,6200.0,2014,15
2014/15,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,16500.0,2014,15
2014/15,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,7200.0,2014,15
2014/15,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,2800.0,2014,15
2014/15,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Unknown,11200.0,2014,15
2014/15,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Unknown,6100.0,2014,15
2014/15,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Unknown,2700.0,2014,15
2014/15,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,Unknown,16600.0,2014,15
2014/15,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,Unknown,6700.0,2014,15
2014/15,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,Unknown,500.0,2014,15
2014/15,All codes,All admissions,All admissions,Number of admissions,Male,5141482.0,2014,15
2014/15,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Male,931001.0,2014,15
2014/15,C00-D48,All cancers,All cancers,Number of admissions,Male,828031.0,2014,15
2014/15,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Male,300450.0,2014,15
2014/15,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Male,522587.0,2014,15
2014/15,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Male,719952.0,2014,15
2014/15,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Male,47421.0,2014,15
2014/15,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Male,15583.0,2014,15
2014/15,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Male,21400.0,2014,15
2014/15,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Male,3886.0,2014,15
2014/15,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Male,0.0,2014,15
2014/15,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Male,52109.0,2014,15
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Male,10123.0,2014,15
2014/15,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Male,13745.0,2014,15
2014/15,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Male,14470.0,2014,15
2014/15,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Male,3546.0,2014,15
2014/15,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Male,25679.0,2014,15
2014/15,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Male,3131.0,2014,15
2014/15,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Male,58597.0,2014,15
2014/15,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Male,105107.0,2014,15
2014/15,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,161239.0,2014,15
2014/15,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,179220.0,2014,15
2014/15,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,22104.0,2014,15
2014/15,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,53512.0,2014,15
2014/15,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Male,9461.0,2014,15
2014/15,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Male,8571.0,2014,15
2014/15,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,12000.0,2014,15
2014/15,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,17995.0,2014,15
2014/15,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,2560.0,2014,15
2014/15,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Male,70169.0,2014,15
2014/15,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Male,19373.0,2014,15
2014/15,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Male,0.0,2014,15
2014/15,All codes,All admissions,All admissions,Attributable number,Male,293000.0,2014,15
2014/15,C00-D48,All cancers,All cancers,Attributable number,Male,108700.0,2014,15
2014/15,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Male,73400.0,2014,15
2014/15,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Male,91300.0,2014,15
2014/15,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Male,10000.0,2014,15
2014/15,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Male,40900.0,2014,15
2014/15,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Male,11100.0,2014,15
2014/15,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Male,14500.0,2014,15
2014/15,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Male,3100.0,2014,15
2014/15,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,0.0,2014,15
2014/15,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,22100.0,2014,15
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,3300.0,2014,15
2014/15,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,3300.0,2014,15
2014/15,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,3100.0,2014,15
2014/15,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,1800.0,2014,15
2014/15,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,5400.0,2014,15
2014/15,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,2800.0,2014,15
2014/15,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,45600.0,2014,15
2014/15,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,25000.0,2014,15
2014/15,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,27500.0,2014,15
2014/15,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,42600.0,2014,15
2014/15,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,3500.0,2014,15
2014/15,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,9600.0,2014,15
2014/15,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,5800.0,2014,15
2014/15,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,2200.0,2014,15
2014/15,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Male,6100.0,2014,15
2014/15,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Male,2900.0,2014,15
2014/15,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Male,1100.0,2014,15
2014/15,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,Male,7700.0,2014,15
2014/15,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,Male,1900.0,2014,15
2014/15,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,Male,0.0,2014,15
2014/15,All codes,All admissions,All admissions,Number of admissions,Female,5870400.0,2014,15
2014/15,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Female,782329.0,2014,15
2014/15,C00-D48,All cancers,All cancers,Number of admissions,Female,863004.0,2014,15
2014/15,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Female,310552.0,2014,15
2014/15,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Female,384570.0,2014,15
2014/15,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Female,740767.0,2014,15
2014/15,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Female,40987.0,2014,15
2014/15,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Female,6132.0,2014,15
2014/15,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Female,8303.0,2014,15
2014/15,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Female,739.0,2014,15
2014/15,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Female,6559.0,2014,15
2014/15,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Female,16148.0,2014,15
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Female,5303.0,2014,15
2014/15,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Female,5380.0,2014,15
2014/15,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Female,12320.0,2014,15
2014/15,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Female,4699.0,2014,15
2014/15,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Female,17456.0,2014,15
2014/15,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Female,2749.0,2014,15
2014/15,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Female,63350.0,2014,15
2014/15,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Female,103652.0,2014,15
2014/15,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,130907.0,2014,15
2014/15,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,86294.0,2014,15
2014/15,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,15655.0,2014,15
2014/15,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,52420.0,2014,15
2014/15,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Female,2705.0,2014,15
2014/15,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Female,4686.0,2014,15
2014/15,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,11659.0,2014,15
2014/15,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,22278.0,2014,15
2014/15,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,4179.0,2014,15
2014/15,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Female,97720.0,2014,15
2014/15,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Female,48618.0,2014,15
2014/15,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Female,11431.0,2014,15
2014/15,All codes,All admissions,All admissions,Attributable number,Female,181600.0,2014,15
2014/15,C00-D48,All cancers,All cancers,Attributable number,Female,49800.0,2014,15
2014/15,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Female,68200.0,2014,15
2014/15,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Female,39500.0,2014,15
2014/15,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Female,9900.0,2014,15
2014/15,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Female,29600.0,2014,15
2014/15,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Female,2900.0,2014,15
2014/15,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Female,4900.0,2014,15
2014/15,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Female,500.0,2014,15
2014/15,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Female,700.0,2014,15
2014/15,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Female,4600.0,2014,15
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Female,400.0,2014,15
2014/15,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Female,600.0,2014,15
2014/15,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Female,3000.0,2014,15
2014/15,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Female,900.0,2014,15
2014/15,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Female,1600.0,2014,15
2014/15,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Female,2200.0,2014,15
2014/15,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Female,48200.0,2014,15
2014/15,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Female,17700.0,2014,15
2014/15,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,12700.0,2014,15
2014/15,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,15300.0,2014,15
2014/15,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,2700.0,2014,15
2014/15,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,6900.0,2014,15
2014/15,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Female,1500.0,2014,15
2014/15,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Female,500.0,2014,15
2014/15,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Female,5100.0,2014,15
2014/15,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Female,3200.0,2014,15
2014/15,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Female,1600.0,2014,15
2014/15,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,Female,9000.0,2014,15
2014/15,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,Female,4800.0,2014,15
2014/15,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,Female,500.0,2014,15
2013/14,All codes,All admissions,All admissions,Number of admissions,Unknown,10602739.0,2013,14
2013/14,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Unknown,1634266.0,2013,14
2013/14,C00-D48,All cancers,All cancers,Number of admissions,Unknown,1631637.0,2013,14
2013/14,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Unknown,538994.0,2013,14
2013/14,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Unknown,892712.0,2013,14
2013/14,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Unknown,1390104.0,2013,14
2013/14,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Unknown,87633.0,2013,14
2013/14,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Unknown,21304.0,2013,14
2013/14,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Unknown,29447.0,2013,14
2013/14,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Unknown,4335.0,2013,14
2013/14,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Unknown,7000.0,2013,14
2013/14,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Unknown,73077.0,2013,14
2013/14,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Unknown,14385.0,2013,14
2013/14,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Unknown,19288.0,2013,14
2013/14,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Unknown,24885.0,2013,14
2013/14,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Unknown,8237.0,2013,14
2013/14,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Unknown,40689.0,2013,14
2013/14,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Unknown,5309.0,2013,14
2013/14,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Unknown,112703.0,2013,14
2013/14,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Unknown,172271.0,2013,14
2013/14,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Unknown,281338.0,2013,14
2013/14,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Unknown,270282.0,2013,14
2013/14,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Unknown,41039.0,2013,14
2013/14,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Unknown,105548.0,2013,14
2013/14,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Unknown,12212.0,2013,14
2013/14,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Unknown,13038.0,2013,14
2013/14,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Unknown,22103.0,2013,14
2013/14,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Unknown,36895.0,2013,14
2013/14,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Unknown,6281.0,2013,14
2013/14,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Unknown,145191.0,2013,14
2013/14,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Unknown,68487.0,2013,14
2013/14,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Unknown,11289.0,2013,14
2013/14,All codes,All admissions,All admissions,Attributable number,Unknown,454700.0,2013,14
2013/14,C00-D48,All cancers,All cancers,Attributable number,Unknown,158800.0,2013,14
2013/14,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Unknown,125600.0,2013,14
2013/14,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Unknown,130800.0,2013,14
2013/14,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Unknown,18400.0,2013,14
2013/14,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Unknown,70000.0,2013,14
2013/14,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Unknown,13900.0,2013,14
2013/14,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Unknown,19300.0,2013,14
2013/14,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Unknown,3400.0,2013,14
2013/14,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Unknown,800.0,2013,14
2013/14,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Unknown,28800.0,2013,14
2013/14,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Unknown,3500.0,2013,14
2013/14,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Unknown,4000.0,2013,14
2013/14,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Unknown,5700.0,2013,14
2013/14,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Unknown,2800.0,2013,14
2013/14,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Unknown,6700.0,2013,14
2013/14,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Unknown,4500.0,2013,14
2013/14,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Unknown,86800.0,2013,14
2013/14,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Unknown,34300.0,2013,14
2013/14,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,38800.0,2013,14
