Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Unknown,1744.0
2014,All codes,All deaths,All deaths,Attributable number,Unknown,77800.0
2014,C00-D48,All cancers,All cancers,Attributable number,Unknown,37400.0
2014,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Unknown,23200.0
2014,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Unknown,16400.0
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Unknown,800.0
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Unknown,23100.0
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Unknown,1400.0
2014,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Unknown,500.0
2014,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Unknown,4100.0
2014,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Unknown,100.0
2014,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Unknown,1700.0
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Unknown,800.0
2014,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Unknown,700.0
2014,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Unknown,1700.0
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Unknown,3000.0
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Unknown,400.0
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Unknown,1000.0
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Unknown,18000.0
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Unknown,4100.0
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,2800.0
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,7400.0
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,400.0
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,2700.0
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,3100.0
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,0.0
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Unknown,800.0
2014,All codes,All deaths,All deaths,Number of observed deaths,Male,223044.0
2014,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Male,123135.0
2014,C00-D48,All cancers,All cancers,Number of observed deaths,Male,72488.0
2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Male,29921.0
2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Male,63814.0
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Male,10942.0
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Male,15844.0
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Male,1490.0
2014,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Male,537.0
2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Male,4270.0
2014,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Male,0.0
2014,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Male,3054.0
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Male,2228.0
2014,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Male,2320.0
2014,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Male,3710.0
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Male,4071.0
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Male,1294.0
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,751.0
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,11937.0
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,10315.0
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,9198.0
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,33725.0
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,1012.0
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,13135.0
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,3220.0
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,60.0
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Male,964.0
2014,All codes,All deaths,All deaths,Attributable number,Male,47000.0
2014,C00-D48,All cancers,All cancers,Attributable number,Male,23800.0
2014,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Male,12300.0
2014,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Male,10400.0
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Male,500.0
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Male,13700.0
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Male,1100.0
2014,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Male,400.0
2014,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Male,2900.0
2014,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,0.0
2014,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,1300.0
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,700.0
2014,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,600.0
2014,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,800.0
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,2100.0
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,300.0
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,700.0
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,9300.0
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,2400.0
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,1600.0
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,5100.0
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,200.0
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,1600.0
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,2000.0
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,0.0
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Male,500.0
2014,All codes,All deaths,All deaths,Number of observed deaths,Female,236043.0
2014,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Female,112685.0
2014,C00-D48,All cancers,All cancers,Number of observed deaths,Female,63824.0
2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Female,31823.0
2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Female,62287.0
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Female,11393.0
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Female,12982.0
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Female,707.0
2014,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Female,116.0
2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Female,2045.0
2014,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Female,660.0
2014,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Female,1443.0
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Female,1331.0
2014,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Female,1278.0
2014,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Female,3707.0
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Female,4361.0
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Female,959.0
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,438.0
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,11502.0
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,13074.0
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,12586.0
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,22533.0
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,1431.0
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,18535.0
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,2150.0
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,67.0
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Female,780.0
2014,All codes,All deaths,All deaths,Attributable number,Female,30800.0
2014,C00-D48,All cancers,All cancers,Attributable number,Female,13600.0
2014,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Female,10800.0
2014,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Female,6000.0
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Female,300.0
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Female,9400.0
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Female,300.0
2014,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Female,100.0
2014,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Female,1200.0
2014,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Female,100.0
2014,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Female,400.0
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Female,100.0
2014,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Female,100.0
2014,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Female,900.0
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Female,900.0
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Female,100.0
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Female,400.0
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Female,8800.0
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Female,1700.0
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,1200.0
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,2300.0
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,200.0
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,1100.0
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Female,1200.0
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Female,0.0
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Female,300.0
2013,All codes,All deaths,All deaths,Number of observed deaths,Unknown,463986.0
2013,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Unknown,241683.0
2013,C00-D48,All cancers,All cancers,Number of observed deaths,Unknown,134969.0
2013,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Unknown,68891.0
2013,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Unknown,129968.0
2013,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Unknown,22458.0
2013,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Unknown,28521.0
2013,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Unknown,2059.0
2013,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Unknown,649.0
2013,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Unknown,6324.0
2013,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Unknown,663.0
2013,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Unknown,4226.0
2013,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Unknown,3423.0
2013,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Unknown,3733.0
2013,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Unknown,7082.0
2013,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Unknown,8019.0
2013,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Unknown,2495.0
2013,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Unknown,1135.0
2013,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Unknown,24462.0
2013,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Unknown,24636.0
2013,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,22901.0
2013,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,59165.0
2013,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,2471.0
2013,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,32274.0
2013,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,5448.0
2013,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,158.0
2013,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Unknown,1839.0
2013,All codes,All deaths,All deaths,Attributable number,Unknown,78200.0
2013,C00-D48,All cancers,All cancers,Attributable number,Unknown,36800.0
2013,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Unknown,23800.0
2013,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Unknown,16700.0
2013,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Unknown,900.0
2013,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Unknown,22800.0
2013,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Unknown,1300.0
2013,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Unknown,500.0
2013,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Unknown,4100.0
2013,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Unknown,100.0
2013,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Unknown,1600.0
2013,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Unknown,800.0
2013,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Unknown,700.0
2013,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Unknown,1600.0
2013,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Unknown,2800.0
2013,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Unknown,400.0
2013,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Unknown,1000.0
2013,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Unknown,18900.0
2013,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Unknown,4000.0
2013,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,2900.0
2013,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,7600.0
2013,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,400.0
2013,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,2500.0
2013,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,3200.0
2013,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,0.0
2013,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Unknown,900.0
2013,All codes,All deaths,All deaths,Number of observed deaths,Male,223249.0
2013,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Male,124504.0
2013,C00-D48,All cancers,All cancers,Number of observed deaths,Male,71557.0
2013,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Male,32618.0
2013,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Male,64933.0
2013,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Male,10760.0
2013,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Male,15770.0
2013,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Male,1360.0
2013,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Male,514.0
2013,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Male,4314.0
2013,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Male,2778.0
2013,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Male,2831.0
2013,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Male,2132.0
2013,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Male,2395.0
2013,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Male,3534.0
2013,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Male,3817.0
2013,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Male,1437.0
2013,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,693.0
2013,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,12418.0
2013,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,10514.0
2013,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,9509.0
2013,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,34949.0
2013,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,1027.0
2013,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,12995.0
2013,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,3258.0
2013,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,77.0
2013,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Male,960.0
2013,All codes,All deaths,All deaths,Attributable number,Male,47200.0
2013,C00-D48,All cancers,All cancers,Attributable number,Male,23500.0
2013,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Male,12600.0
2013,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Male,10600.0
2013,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Male,500.0
2013,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Male,13600.0
2013,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Male,1000.0
2013,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Male,400.0
2013,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Male,2900.0
2013,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,2778.0
2013,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,1200.0
2013,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,700.0
2013,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,600.0
2013,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,800.0
2013,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,2000.0
2013,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,300.0
2013,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,600.0
2013,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,9700.0
2013,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,2300.0
2013,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,1600.0
2013,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,5200.0
2013,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,200.0
2013,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,1500.0
2013,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,2000.0
2013,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,0.0
2013,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Male,500.0
2013,All codes,All deaths,All deaths,Number of observed deaths,Female,240737.0
2013,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Female,117179.0
2013,C00-D48,All cancers,All cancers,Number of observed deaths,Female,63412.0
2013,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Female,36273.0
2013,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Female,65035.0
